,580
315,3216
314,3217
314,3217
314,3218
314,3219
314,3220
315,3221
315,3222
314,3223
314,3224
315,3225
314,3226
314,3227
314,3228
314,3229
314,3230
314,3231
314,3232
314,3233
314,3234
314,3235
314,3236
314,3237
314,3238
314,3239
314,3240
314,3241
314,3243
314,3244
314,3245
314,3246
314,3247
314,3248
314,3249
314,3250
314,3251
314,3252
314,3253
314,3254
314,3255
314,3256
314,3257
314,3258
314,3259
314,3260
314,3261
315,3262
314,3263
315,3264
315,3265
315,3266
314,3267
314,3268
314,3268
314,3269
314,3270
314,3271
314,3272
314,3273
314,3274
314,3275
314,3276
314,3277
314,3278
314,3279
314,3280
314,3281
314,3282
314,3283
314,3284
314,3286
314,3287
314,3288
314,3289
314,3290
314,3291
314,3292
314,3293
314,3294
314,3295
314,3296
314,3297
314,3298
314,3299
314,3300
314,3301
314,3302
315,3303
314,3304
315,3305
315,3306
315,3307
315,3308
315,3309
314,3310
314,3311
314,3312
314,3313
314,3314
314,3315
314,3316
314,3317
314,3318
315,3319
314,3320
315,3320
315,3321
315,3322
315,3323
315,3324
315,3325
315,3326
315,3328
315,3329
315,3330
315,3331
315,3332
315,3333
315,3334
315,3335
315,3336
315,3337
315,3338
315,3339
315,3340
315,3341
315,3342
315,3343
316,3344
316,3345
316,3346
316,3347
316,3348
316,3349
316,3350
316,3351
315,3352
316,3353
316,3354
316,3355
316,3356
316,3357
316,3358
316,3359
316,3360
316,3361
316,3362
317,3363
317,3364
317,3365
317,3366
317,3367
317,3368
317,3369
317,3371
317,3372
316,3372
317,3373
317,3374
317,3375
316,3376
317,3377
317,3378
317,3379
317,3380
317,3381
317,3382
317,3383
317,3384
317,3385
317,3386
317,3387
317,3388
317,3389
317,3390
317,3391
317,3392
317,3393
317,3394
317,3395
317,3396
317,3397
317,3398
317,3399
317,3400
317,3401
317,3402
317,3403
317,3404
317,3405
317,3406
317,3407
317,3408
317,3409
317,3410
317,3411
317,3412
317,3414
317,3415
317,3416
317,3417
317,3418
317,3419
317,3420
317,3421
317,3422
317,3423
317,3424
318,3424
318,3425
318,3426
318,3427
318,3428
318,3429
318,3430
318,3431
318,3432
318,3433
318,3434
318,3435
318,3436
318,3437
318,3438
318,3439
318,3440
318,3441
318,3442
318,3443
318,3444
318,3445
318,3446
318,3447
318,3448
318,3449
318,3450
318,3451
318,3452
318,3453
318,3454
318,3456
318,3457
318,3458
318,3459
318,3460
318,3461
319,3462
319,3463
319,3464
319,3465
319,3466
319,3467
319,3468
319,3469
319,3470
319,3471
319,3472
